Puzzle,Number_of_given_elements,Result,Heuristics,Splits,Backtracks,Time
sudoku-0078,24,SAT,Dynamic largest individual sum,198,155,15.607731580734253
sudoku-0079,24,SAT,Random,14,0,10.026861906051636
sudoku-0079,24,SAT,Two-Sided Jeroslow-Wang,12,0,9.96106743812561
sudoku-0079,24,SAT,Dynamic largest individual sum,100,39,12.991173028945923
sudoku-0080,24,SAT,Random,6,2,10.800833463668823
sudoku-0080,24,SAT,Two-Sided Jeroslow-Wang,7,0,9.348999977111816
sudoku-0080,24,SAT,Dynamic largest individual sum,510,475,40.30707097053528
sudoku-0081,24,SAT,Random,7,0,9.381853103637695
sudoku-0081,24,SAT,Two-Sided Jeroslow-Wang,18,4,10.20874285697937
sudoku-0081,24,SAT,Dynamic largest individual sum,998,954,49.627002477645874
sudoku-0082,24,SAT,Random,4,0,8.640035152435303
sudoku-0082,24,SAT,Two-Sided Jeroslow-Wang,7,0,8.657681226730347
sudoku-0082,24,SAT,Dynamic largest individual sum,73,19,10.500958919525146
sudoku-0083,24,SAT,Random,13,0,9.751672744750977
sudoku-0083,24,SAT,Two-Sided Jeroslow-Wang,13,2,9.934548139572144
sudoku-0083,24,SAT,Dynamic largest individual sum,389,332,22.65025544166565
sudoku-0084,24,SAT,Random,8,0,9.209649324417114
sudoku-0084,24,SAT,Two-Sided Jeroslow-Wang,10,0,9.228066444396973
sudoku-0084,24,SAT,Dynamic largest individual sum,87,45,11.388534307479858
sudoku-0085,24,SAT,Random,12,0,9.451773881912231
sudoku-0085,24,SAT,Two-Sided Jeroslow-Wang,7,0,9.139981746673584
sudoku-0085,24,SAT,Dynamic largest individual sum,124,74,12.33707880973816
sudoku-0086,24,SAT,Random,16,0,9.799933433532715
sudoku-0086,24,SAT,Two-Sided Jeroslow-Wang,10,2,10.055633783340454
sudoku-0086,24,SAT,Dynamic largest individual sum,196,155,17.32555603981018
sudoku-0087,24,SAT,Random,16,0,9.565731763839722
sudoku-0087,24,SAT,Two-Sided Jeroslow-Wang,6,0,9.168506145477295
sudoku-0087,24,SAT,Dynamic largest individual sum,110,45,12.52861213684082
sudoku-0088,24,SAT,Random,9,0,9.044471263885498
sudoku-0088,24,SAT,Two-Sided Jeroslow-Wang,5,0,8.81024980545044
